北京
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,48,1,优,NA
2024-12-17,47,1,优,NA
2024-12-18,100,2,良,PM2.5
2024-12-19,121,3,轻度污染,PM2.5
2024-12-20,40,1,优,NA
天津
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,78,2,良,PM10
2024-12-17,72,2,良,PM2.5
2024-12-18,95,2,良,PM2.5
2024-12-19,104,3,轻度污染,PM2.5
2024-12-20,79,2,良,PM10
上海
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,148,3,轻度污染,PM2.5
2024-12-17,145,3,轻度污染,PM2.5
2024-12-18,96,2,良,PM2.5
2024-12-19,79,2,良,PM2.5
2024-12-20,93,2,良,PM2.5
重庆
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,78,2,良,PM2.5
2024-12-17,81,2,良,PM2.5
2024-12-18,93,2,良,PM2.5
2024-12-19,72,2,良,PM2.5
2024-12-20,79,2,良,PM2.5
河北
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,75,2,良,PM10
2024-12-17,77,2,良,PM10
2024-12-18,116,3,轻度污染,PM2.5
2024-12-19,146,3,轻度污染,PM2.5
2024-12-20,61,2,良,PM10
山西
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,102,3,轻度污染,PM2.5
2024-12-17,96,2,良,PM2.5
2024-12-18,131,3,轻度污染,PM2.5
2024-12-19,144,3,轻度污染,PM2.5
2024-12-20,87,2,良,PM10
内蒙古
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,89,2,良,PM2.5
2024-12-17,93,2,良,PM2.5
2024-12-18,91,2,良,PM2.5
2024-12-19,83,2,良,PM10
2024-12-20,59,2,良,PM10
辽宁
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,55,2,良,NO2
2024-12-17,48,1,优,NA
2024-12-18,82,2,良,PM2.5
2024-12-19,98,2,良,PM2.5
2024-12-20,65,2,良,PM2.5
吉林
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,47,1,优,NA
2024-12-17,52,2,良,PM2.5
2024-12-18,60,2,良,PM2.5
2024-12-19,63,2,良,PM2.5
2024-12-20,51,2,良,PM2.5
黑龙江
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,67,2,良,PM2.5
2024-12-17,96,2,良,PM2.5
2024-12-18,105,3,轻度污染,PM2.5
2024-12-19,107,3,轻度污染,PM2.5
2024-12-20,99,2,良,PM2.5
江苏
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,104,3,轻度污染,PM2.5
2024-12-17,145,3,轻度污染,PM2.5
2024-12-18,134,3,轻度污染,PM2.5
2024-12-19,107,3,轻度污染,PM2.5
2024-12-20,108,3,轻度污染,PM2.5
浙江
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,85,2,良,PM2.5
2024-12-17,108,3,轻度污染,PM2.5
