日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物,pm10,pm2p5,no2,so2,co,o3
2024-12-09T00:00+08:00,52,2,良,PM10,53,26,47,4,0.6,10
2024-12-09T01:00+08:00,51,2,良,PM10,52,26,46,3,0.6,10
2024-12-09T02:00+08:00,48,1,优,-,48,25,48,4,0.6,9
2024-12-09T03:00+08:00,44,1,优,-,44,23,46,4,0.6,10
2024-12-09T04:00+08:00,39,1,优,-,39,20,45,4,0.6,11
2024-12-09T05:00+08:00,36,1,优,-,36,18,42,4,0.5,12
2024-12-09T06:00+08:00,32,1,优,-,32,17,41,4,0.5,12
2024-12-09T07:00+08:00,32,1,优,-,32,16,43,4,0.5,10
2024-12-09T08:00+08:00,35,1,优,-,35,18,41,4,0.6,11
2024-12-09T09:00+08:00,36,1,优,-,36,17,35,4,0.6,17
2024-12-09T10:00+08:00,37,1,优,-,37,18,30,5,0.6,26
2024-12-09T11:00+08:00,39,1,优,-,39,19,27,6,0.5,32
2024-12-09T12:00+08:00,40,1,优,-,40,19,25,6,0.5,37
2024-12-09T13:00+08:00,38,1,优,-,38,19,24,6,0.5,41
2024-12-09T14:00+08:00,37,1,优,-,37,18,24,6,0.5,43
2024-12-09T15:00+08:00,36,1,优,-,36,18,26,5,0.5,42
2024-12-09T16:00+08:00,38,1,优,-,38,18,30,5,0.4,38
2024-12-09T17:00+08:00,44,1,优,-,44,20,40,5,0.5,28
2024-12-09T18:00+08:00,52,2,良,PM10,53,27,51,5,0.5,17
2024-12-09T19:00+08:00,55,2,良,PM10,60,30,53,5,0.6,13
2024-12-09T20:00+08:00,59,2,良,PM10,67,33,55,5,0.6,10
2024-12-09T21:00+08:00,60,2,良,PM10,69,32,54,4,0.7,9
2024-12-09T22:00+08:00,59,2,良,PM10,68,33,57,4,0.7,8
2024-12-09T23:00+08:00,58,2,良,PM10,66,32,55,4,0.7,8
2024-12-10T00:00+08:00,56,2,良,PM10,62,30,52,4,0.7,10
2024-12-10T01:00+08:00,53,2,良,PM10,56,27,51,4,0.6,12
2024-12-10T02:00+08:00,50,1,优,-,50,25,50,4,0.6,12
2024-12-10T03:00+08:00,42,1,优,-,42,21,44,4,0.5,15
2024-12-10T04:00+08:00,35,1,优,-,35,19,40,4,0.5,16
2024-12-10T05:00+08:00,31,1,优,-,31,17,38,4,0.5,19
2024-12-10T06:00+08:00,29,1,优,-,29,16,38,3,0.4,19
2024-12-10T07:00+08:00,29,1,优,-,29,16,36,3,0.5,20
2024-12-10T08:00+08:00,32,1,优,-,32,17,35,4,0.5,20
2024-12-10T09:00+08:00,35,1,优,-,35,18,32,3,0.5,25
2024-12-10T10:00+08:00,35,1,优,-,35,19,28,3,0.5,33
2024-12-10T11:00+08:00,34,1,优,-,34,18,23,4,0.4,41
