日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-07,63,2,良,PM2.5
2024-12-07,63,2,良,PM2.5
2024-12-07,62,2,良,PM2.5
2024-12-07,59,2,良,PM2.5
2024-12-07,58,2,良,PM2.5
2024-12-07,55,2,良,PM2.5
2024-12-07,53,2,良,PM2.5
2024-12-07,50,1,优,-
2024-12-07,48,1,优,-
2024-12-07,45,1,优,-
2024-12-07,42,1,优,-
2024-12-07,42,1,优,-
2024-12-07,40,1,优,-
2024-12-07,39,1,优,-
2024-12-07,36,1,优,-
2024-12-07,35,1,优,-
2024-12-07,34,1,优,-
2024-12-07,37,1,优,-
2024-12-07,39,1,优,-
2024-12-07,39,1,优,-
2024-12-07,38,1,优,-
2024-12-07,35,1,优,-
2024-12-07,31,1,优,-
2024-12-07,31,1,优,-
2024-12-17,61,2,良,O3
2024-12-18,57,2,良,O3
2024-12-19,59,2,良,O3
2024-12-20,51,2,良,O3
2024-12-21,61,2,良,O3
