日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物,pm10,pm2p5,no2,so2,co,o3
2024-12-07T00:00+08:00,63,2,良,PM2.5,62,45,32,7,0.9,45
2024-12-07T01:00+08:00,63,2,良,PM2.5,62,45,32,7,0.9,39
2024-12-07T02:00+08:00,62,2,良,PM2.5,59,44,27,7,0.9,42
2024-12-07T03:00+08:00,59,2,良,PM2.5,57,42,25,7,0.8,43
2024-12-07T04:00+08:00,58,2,良,PM2.5,54,41,22,6,0.8,46
2024-12-07T05:00+08:00,55,2,良,PM2.5,51,39,20,6,0.8,48
2024-12-07T06:00+08:00,53,2,良,PM2.5,48,37,20,6,0.8,46
2024-12-07T07:00+08:00,50,1,优,-,45,35,22,6,0.8,44
2024-12-07T08:00+08:00,48,1,优,-,43,33,21,6,0.8,43
2024-12-07T09:00+08:00,45,1,优,-,40,31,21,6,0.8,46
2024-12-07T10:00+08:00,42,1,优,-,40,29,20,6,0.8,52
2024-12-07T11:00+08:00,42,1,优,-,40,29,19,6,0.8,62
2024-12-07T12:00+08:00,40,1,优,-,39,28,18,6,0.8,74
2024-12-07T13:00+08:00,39,1,优,-,38,27,16,6,0.8,87
2024-12-07T14:00+08:00,36,1,优,-,36,25,14,6,0.7,97
2024-12-07T15:00+08:00,35,1,优,-,35,23,15,7,0.7,101
2024-12-07T16:00+08:00,34,1,优,-,34,22,16,6,0.7,100
2024-12-07T17:00+08:00,37,1,优,-,37,23,18,7,0.8,93
2024-12-07T18:00+08:00,39,1,优,-,39,24,20,7,0.8,81
2024-12-07T19:00+08:00,39,1,优,-,39,25,20,6,0.8,69
2024-12-07T20:00+08:00,38,1,优,-,38,24,18,6,0.8,64
2024-12-07T21:00+08:00,35,1,优,-,35,23,16,6,0.8,63
2024-12-07T22:00+08:00,31,1,优,-,31,20,15,6,0.8,64
2024-12-07T23:00+08:00,31,1,优,-,31,20,15,6,0.7,61
2024-12-08T00:00+08:00,31,1,优,-,31,20,15,6,0.7,61
2024-12-08T01:00+08:00,31,1,优,-,31,21,14,6,0.7,61
2024-12-08T02:00+08:00,30,1,优,-,30,20,14,6,0.7,59
2024-12-08T03:00+08:00,28,1,优,-,28,19,14,6,0.7,56
2024-12-08T04:00+08:00,29,1,优,-,29,19,15,6,0.7,55
2024-12-08T05:00+08:00,27,1,优,-,27,18,14,6,0.7,58
2024-12-08T06:00+08:00,25,1,优,-,25,17,14,6,0.7,60
2024-12-08T07:00+08:00,22,1,优,-,22,14,15,6,0.6,61
2024-12-08T08:00+08:00,21,1,优,-,21,13,15,6,0.6,63
2024-12-08T09:00+08:00,22,1,优,-,22,13,15,6,0.6,65
2024-12-08T10:00+08:00,25,1,优,-,25,15,16,6,0.6,65
2024-12-08T11:00+08:00,29,1,优,-,29,17,15,7,0.6,69
2024-12-08T12:00+08:00,32,1,优,-,32,19,15,7,0.6,77
2024-12-08T13:00+08:00,33,1,优,-,33,20,15,7,0.6,87
2024-12-08T14:00+08:00,33,1,优,-,33,20,14,7,0.6,96
2024-12-08T15:00+08:00,33,1,优,-,33,19,15,7,0.6,101
2024-12-08T16:00+08:00,33,1,优,-,33,19,16,7,0.7,102
2024-12-08T17:00+08:00,34,1,优,-,34,19,18,7,0.7,99
2024-12-08T18:00+08:00,37,1,优,-,37,21,22,7,0.7,90
2024-12-08T19:00+08:00,40,1,优,-,40,23,25,7,0.7,79
2024-12-08T20:00+08:00,40,1,优,-,40,23,26,7,0.7,71
2024-12-08T21:00+08:00,41,1,优,-,41,24,26,7,0.8,65
